"uf" "candidato" "partido" "logvotos" "sexo" "resultado"
"RO" "ACIR MARCOS GURGACZ" "PDT" 12,257 "Masculino" "Não eleito"
"ES" "AFONSO CEZAR CORADINE" "PSOL" 9,937 "Masculino" "Não eleito"
"DF" "AGNELO SANTOS QUEIROZ FILHO" "PC do B" 13,207 "Masculino" "Não eleito"
"SP" "ALDA MARCO ANTONIO" "PMDB" 13,742 "Feminino" "Não eleito"
"GO" "ALDO SILVA ARANTES" "PC do B" 11,659 "Masculino" "Não eleito"
"RJ" "ALFREDO HELIO SIRKIS" "PV" 13,117 "Masculino" "Não eleito"
"AM" "ALFREDO PEREIRA DO NASCIMENTO" "PL" 13,353 "Masculino" "Eleito"
"PE" "ALUÍSIO DE ARAÚJO FIGUEIRÔA" "PCB" 8,573 "Masculino" "Não eleito"
"PR" "ALVARO FERNANDES DIAS" "PSDB" 14,76 "Masculino" "Eleito"
"SP" "ANA ELIZABETH NOLL PRUDENTE" "PTC" 8,861 "Feminino" "Não eleito"
"BA" "ANDRÉ LUIS FREITAS FONSECA" "PSOL" 9,231 "Masculino" "Não eleito"
"MS" "ANITA TEREZINHA NUNES BORBA" "PSOL" 8,891 "Feminino" "Não eleito"
"PI" "ANTONIO ALMEIDA DE SOUSA" "PSL" 9,475 "Masculino" "Não eleito"
"SP" "ANTONIO CARLOS SILVA" "PCO" 8,015 "Masculino" "Não eleito"
"PI" "ANTONIO DE ALMENDRA FREITAS NETO" "PSDB" 11,045 "Masculino" "Não eleito"
"CE" "ANTONIO FERNANDES DA SILVA FILHO" "PSDC" 8,2 "Masculino" "Não eleito"
"BA" "ANTÔNIO JOSÉ IMBASSAHY DA SILVA" "PSDB" 13,831 "Masculino" "Não eleito"
"PB" "ANTONIO PEREIRA DA SILVA" "PCB" 7,777 "Masculino" "Não eleito"
"PR" "ANTONIO PROCOPIAK NETO" "PSDC" 8,563 "Masculino" "Não eleito"
"RN" "ANTONIO SOTERO DA SILVA" "PSL" 8,297 "Masculino" "Não eleito"
"PR" "APARECIDO CUSTODIO DA SILVA" "PRTB" 9,223 "Masculino" "Não eleito"
"AL" "ARMANDO LÔBO PEREIRA GOMES" "PTN" 7,096 "Masculino" "Não eleito"
"RR" "BARTOLOMEU DA SILVA TOMAZ" "PCO" 6,682 "Masculino" "Não eleito"
"MS" "CARLOS ANTONIO MENEZES LEITE" "PV" 8,807 "Masculino" "Não eleito"
"TO" "CÉLIO ALVES DE MOURA" "PT" 10,241 "Masculino" "Não eleito"
"AP" "CELISA PENNA MELO CAPELARI" "PSOL" 8,191 "Feminino" "Não eleito"
"PB" "CÍCERO DE LUCENA FILHO" "PSDB" 13,597 "Masculino" "Eleito"
"TO" "CLAUDIO DALLABRIDA" "PSOL" 7,401 "Masculino" "Não eleito"
"MT" "CLEUZA DIAS LEITE" "PSOL" 8,285 "Feminino" "Não eleito"
"AP" "COSMO FERREIRA DA SILVA" "PRP" 6,624 "Masculino" "Não eleito"
"PE" "DELTA MARIM MORAES DE FARIAS" "PRTB" 7,764 "Masculino" "Não eleito"
"GO" "DIONE JOSE DE ARAÚJO" "PFL" 10,182 "Masculino" "Não eleito"
"SP" "DOMINGOS FERNANDES" "PV" 12,142 "Masculino" "Não eleito"
"RN" "EDGAR NAZARENO CALDAS" "PCB" 7,556 "Masculino" "Não eleito"
"RJ" "EDIALEDA SALGADO DO NASCIMENTO" "PDT" 11,011 "Feminino" "Não eleito"
"AM" "EDNAILDA MARIA DOS SANTOS" "PCO" 6,096 "Feminino" "Não eleito"
"BA" "EDNALDO MENDES SACRAMENTO" "PSTU" 8,033 "Masculino" "Não eleito"
"MT" "EDSON SANTANA DA SILVA" "PSDC" 6,324 "Masculino" "Não eleito"
"SP" "EDUARDO MATARAZZO SUPLICY" "PT" 16,011 "Masculino" "Eleito"
"MS" "EGON KRAKHECKE" "PT" 13,031 "Masculino" "Não eleito"
"MG" "ELISEU RESENDE" "PFL" 15,436 "Masculino" "Eleito"
"SP" "ELZA DE FATIMA COSTA PEREIRA" "PDT" 12,185 "Feminino" "Não eleito"
"MA" "EPITACIO CAFETEIRA AFONSO PEREIRA" "PTB" 13,832 "Masculino" "Eleito"
"RO" "EXPEDITO GONÇALVES FERREIRA JUNIOR" "PPS" 12,498 "Masculino" "Eleito"
"DF" "EZEQUIEL SOUSA DO NASCIMENTO" "PDT" 10,337 "Masculino" "Não eleito"
"ES" "FÁBIO LOPES DA SILVA" "PCO" 7,99 "Masculino" "Não eleito"
"AL" "FERNANDO AFFONSO COLLOR DE MELLO" "PRTB" 13,219 "Masculino" "Eleito"
"RN" "FERNANDO LUIZ GONÇALVES BEZERRA" "PTB" 13,361 "Masculino" "Não eleito"
"AC" "FRANCISCO CHAGAS BENÍCIO DIAS" "PSDC" 6,725 "Masculino" "Não eleito"
"AC" "FRANCISCO CHAGAS DA COSTA FREITAS" "PFL" 9,927 "Masculino" "Não eleito"
"MA" "FRANCISCO DA CHAGA MATOS" "PSOL" 8,106 "Masculino" "Não eleito"
"DF" "FRANCISCO JOSÉ TARGINO" "PSTU" 6,607 "Masculino" "Não eleito"
"RR" "FRANCISCO MOZARILDO DE MELO CAVALCANTI" "PTB" 11,501 "Masculino" "Eleito"
"RJ" "FRANCISCO OSWALDO NEVES DORNELLES" "PP" 15,032 "Masculino" "Eleito"
"AM" "FRANCISCO PLINIO VALERIO TOMAZ" "PV" 11,972 "Masculino" "Não eleito"
"DF" "FRANK ALGOT EUGEN SVENSSON" "PCB" 7,515 "Masculino" "Não eleito"
