"uf" "candidato" "partido" "logvotos" "sexo" "resultado"
"MA" "FREDERICO LUIZ MACIEL DOS SANTOS" "PCB" 7,638 "Masculino" "Não eleito"
"AL" "GALBA NOVAIS DE CASTRO JÚNIOR" "PL" 11,111 "Masculino" "Não eleito"
"PI" "GERALDO DO NASCIMENTO CARVALHO" "PSTU" 8,773 "Masculino" "Não eleito"
"RN" "GERALDO JOSÉ DA CÂMARA FERREIRA DE MELO" "PSDB" 11,955 "Masculino" "Não eleito"
"SC" "GERSON ANTONIO BASSO" "PV" 12,463 "Masculino" "Não eleito"
"AM" "GILBERTO MESTRINHO DE MEDEIROS RAPOSO" "PMDB" 12,325 "Masculino" "Não eleito"
"SC" "GILMAR SALGADO DOS SANTOS" "PSTU" 9,224 "Masculino" "Não eleito"
"DF" "GÍLSON VASCONCELOS DOBBIN" "PCO" 7,217 "Masculino" "Não eleito"
"MT" "GISELA GUTH DE ARAUJO" "PHS" 10,028 "Feminino" "Não eleito"
"RR" "GLEEN DAVID SCHIAVETO" "PRONA" 7,458 "Masculino" "Não eleito"
"PR" "GLEISI HELENA HOFFMANN" "PT" 14,648 "Feminino" "Não eleito"
"SP" "GUILHERME AFIF DOMINGOS" "PFL" 15,921 "Masculino" "Não eleito"
"SE" "HEITOR PEREIRA ALVES FILHO" "PSOL" 8,463 "Masculino" "Não eleito"
"PE" "HÉLIO CABRAL LIMA" "PSTU" 9,025 "Masculino" "Não eleito"
"RR" "HERMELINO WENCESLAU ABADI LISCANO" "PRP" 6,466 "Masculino" "Não eleito"
"PI" "HUGO NAPOLEÃO DO REGO NETO" "PFL" 12,703 "Masculino" "Não eleito"
"PI" "IDELFRAN DE CARVALHO VIEIRA MONTEIRO" "PSDC" 7,165 "Masculino" "Não eleito"
"CE" "INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA" "PC do B" 14,464 "Masculino" "Eleito"
"MS" "IONALDO JOSÉ ARCE" "PRONA" 7,667 "Masculino" "Não eleito"
"RJ" "IRVANIO DOS SANTOS" "PSDC" 7,822 "Masculino" "Não eleito"
"PR" "IVAN RAMOS BERNARDO" "PSTU" 8,521 "Masculino" "Não eleito"
"SC" "IZÍO INÁCIO" "PSB" 11,157 "Masculino" "Não eleito"
"RJ" "JANDIRA FEGHALI" "PC do B" 14,831 "Feminino" "Não eleito"
"MT" "JANETE OLIVEIRA DE CARVALHO DANTAS" "PC do B" 12,176 "Feminino" "Não eleito"
"PE" "JARBAS DE ANDRADE VASCONCELOS" "PMDB" 14,524 "Masculino" "Eleito"
"MT" "JAYME VERISSIMO DE CAMPOS" "PFL" 13,569 "Masculino" "Eleito"
"RN" "JOANILSON DE PAULA REGO" "PSDC" 9,107 "Masculino" "Não eleito"
"RS" "JOÃO BATISTA LIMA CONCEIÇÃO" "PSB" 11,616 "Masculino" "Não eleito"
"SE" "JOÃO BOSCO SANTOS" "PCB" 9,273 "Masculino" "Não eleito"
"MA" "JOAO CASTELO RIBEIRO GONCALVES" "PSDB" 13,731 "Masculino" "Não eleito"
"SP" "JOÃO DÁRCIO RIBAMAR SACCHI" "PTN" 9,196 "Masculino" "Não eleito"
"SP" "JOÃO DE REZENDE NETO" "PAN" 7,844 "Masculino" "Não eleito"
"BA" "JOÃO DURVAL CARNEIRO" "PDT" 14,792 "Masculino" "Eleito"
"MS" "JOÃO LEITE SCHIMIDT" "PDT" 10,995 "Masculino" "Não eleito"
"RR" "JOÃO LUCIANO ROSA" "PSOL" 7,311 "Masculino" "Não eleito"
"SC" "JOÃO RAIMUNDO COLOMBO" "PFL" 14,366 "Masculino" "Eleito"
"PI" "JOÃO VICENTE DE MACEDO CLAUDINO" "PTB" 13,739 "Masculino" "Eleito"
"DF" "JOAQUIM DOMINGOS RORIZ" "PMDB" 13,396 "Masculino" "Eleito"
"PE" "JORGE JOSÉ GOMES" "PSB" 13,492 "Masculino" "Não eleito"
"ES" "JORGE RODY" "PSL" 8,564 "Masculino" "Não eleito"
"AL" "JOSE ALFONSO DACAL MATTOS NUNES" "PSDC" 6,547 "Masculino" "Não eleito"
"MT" "JOSE AQUINO BATISTA CORREA" "PRP" 7,975 "Masculino" "Não eleito"
"PI" "JOSÉ ARIMATEA MARTINS MAGALHÃES" "PMDB" 11,175 "Masculino" "Não eleito"
"RO" "JOSÉ AUGUSTO DE OLIVEIRA" "PRTB" 11,077 "Masculino" "Não eleito"
"SE" "JOSÉ EDUARDO DE BARROS DUTRA" "PT" 12,999 "Masculino" "Não eleito"
"TO" "JOSE EDUARDO SIQUEIRA CAMPOS" "PSDB" 12,546 "Masculino" "Não eleito"
"PB" "JOSEILSON FREITAS MOURA" "PCO" 8,933 "Masculino" "Não eleito"
"BA" "JOSÉ MARIA DOS SANTOS" "PCO" 7,256 "Masculino" "Não eleito"
"AL" "JOSÉ MARIA VIEIRA DA SILVA" "PAN" 6,038 "Masculino" "Não eleito"
"AM" "JOSE MARIO FROTA MOREIRA" "PDT" 9,962 "Masculino" "Não eleito"
"ES" "JOSÉ RENATO CASAGRANDE" "PSB" 13,847 "Masculino" "Eleito"
"SP" "JOSE RIBAMAR DANTAS" "PMN" 9,151 "Masculino" "Não eleito"
"PR" "JOSÉ ROBERTO SANDOVAL" "PSC" 11,216 "Masculino" "Não eleito"
"MT" "JOSE ROGERIO SALLES" "PSDB" 12,495 "Masculino" "Não eleito"
"AP" "JOSÉ SARNEY" "PMDB" 11,935 "Masculino" "Eleito"
"AL" "JOSÉ THOMAZ DA SILVA NONÔ NETTO" "PFL" 11,701 "Masculino" "Não eleito"
"AP" "JURACI FREITAS DE SOUSA" "PSDB" 7,215 "Masculino" "Não eleito"
"BA" "JURANDYR CZACZKES CHAVES" "PSDC" 9,883 "Masculino" "Não eleito"
"TO" "KÁTIA REGINA DE ABREU" "PFL" 12,692 "Feminino" "Eleito"
"AP" "LIDUINA BASTOS DO NASCIMENTO" "PSTU" 7,048 "Feminino" "Não eleito"
"PB" "LIVIETO REGIS FILHO" "PSDC" 8,627 "Masculino" "Não eleito"
"PE" "LUCIANO ROBERTO ROSAS DE SIQUEIRA" "PC do B" 13,636 "Masculino" "Não eleito"
"SC" "LUCI TERESINHA CHOINACKI" "PT" 13,635 "Feminino" "Não eleito"
"RN" "LUIZ AUGUSTO MARANHÃO VALLE" "PTC" 8,434 "Masculino" "Não eleito"
"MA" "LUIZ CARLOS BARBOSA NOLETO" "PRONA" 9,779 "Masculino" "Não eleito"
"SP" "LUIZ CARLOS PRATES" "PSTU" 11,309 "Masculino" "Não eleito"
"PR" "LUIZ FELIPE HAJ MUSSI" "PPS" 11,274 "Masculino" "Não eleito"
"RJ" "LUIZ HENRIQUE MENDONÇA VALENTE" "PSL" 8,491 "Masculino" "Não eleito"
"AM" "LUIZ MANOEL NAVARRO" "PCB" 7,522 "Masculino" "Não eleito"
"PA" "LUIZ OTÁVIO OLIVEIRA CAMPOS" "PMDB" 13,016 "Masculino" "Não eleito"
"MA" "LUIZ SOARES FILHO" "PSB" 10,472 "Masculino" "Não eleito"
"SP" "MANOEL BARBOSA DO NASCIMENTO" "PSC" 10,866 "Masculino" "Não eleito"
"MT" "MANOEL NOVAES" "PSC" 8,487 "Masculino" "Não eleito"
"SP" "MARCELO GATTI REIS LOBO" "PSB" 10,791 "Masculino" "Não eleito"
"MG" "MARCILIO DO COUTO AGUIAR" "PRTB" 7,887 "Masculino" "Não eleito"
"GO" "MARCONI FERREIRA PERILLO JUNIOR" "PSDB" 14,526 "Masculino" "Eleito"
"RO" "MARCOS AUGUSTO GOMES SUSSUARANA" "PSOL" 9,69 "Masculino" "Não eleito"
"DF" "MARCOS CARDOSO CEZAR DA SILVA" "PFL" 9,74 "Masculino" "Não eleito"
"PI" "MARCUS VINICIUS DO CARMO FERREIRA" "PMN" 8,16 "Masculino" "Não eleito"
"AP" "MARIA CRISTINA DO ROSÁRIO ALMEIDA" "PSB" 11,723 "Feminino" "Não eleito"
"MG" "MARIA DA CONSOLAÇÃO ROCHA" "PSOL" 11,793 "Feminino" "Não eleito"
"SE" "MARIA DO CARMO DO NASCIMENTO ALVES" "PFL" 13,057 "Feminino" "Eleito"
"CE" "MARIA NAIR FERNANDES SILVA" "PDT" 10,58 "Feminino" "Não eleito"
"RR" "MARIA TERESA SAENZ SURITA JUCÁ" "PPS" 11,229 "Feminino" "Não eleito"
"PA" "MARIO ANDRADE CARDOSO" "PT" 13,688 "Masculino" "Não eleito"
"RS" "MARIO BERND NETO" "PPS" 13,606 "Masculino" "Não eleito"
"PA" "MÁRIO COUTO FILHO" "PSDB" 14,192 "Masculino" "Eleito"
"MS" "MARISA JOAQUINA MONTEIRO SERRANO" "PSDB" 13,317 "Feminino" "Eleito"
"ES" "MAX FREITAS MAURO" "PDT" 13,294 "Masculino" "Não eleito"
"RO" "MELKISEDK DONADON" "PMDB" 11,674 "Masculino" "Não eleito"
"RS" "MIGUEL SOLDATELLI ROSSETTO" "PT" 14,254 "Masculino" "Não eleito"
"RS" "MÔNICA LEAL MARKUSONS" "PP" 13,659 "Feminino" "Não eleito"
"CE" "MORONI BING TORGAN" "PFL" 14,335 "Masculino" "Não eleito"
"MA" "NAZARE BEZERRA CARVALHO COLLINS" "PTC" 10,162 "Masculino" "Não eleito"
"PA" "NEIDE ROCHA CUNHA SOLIMÕES" "PSOL" 9,985 "Feminino" "Não eleito"
"RS" "NÉLSON CARVALHO VASCONCELOS" "PV" 10,666 "Masculino" "Não eleito"
"MG" "NEWTON CARDOSO" "PMDB" 14,701 "Masculino" "Não eleito"
"DF" "NEWTON LINS TEIXEIRA DE CARVALHO" "PSL" 8,237 "Masculino" "Não eleito"
"GO" "NEY MOURA TELES" "PMDB" 13,129 "Masculino" "Não eleito"
"PB" "NEY ROBINSON SUASSUNA" "PMDB" 13,495 "Masculino" "Não eleito"
"SE" "NILTON VIEIRA LIMA" "PDT" 9,154 "Masculino" "Não eleito"
"AC" "NÚCIA MARIA CANIZO FERREIRA" "PSOL" 7,792 "Feminino" "Não eleito"
"RS" "ODETTE FERNANDES MARTINS GONÇALVES" "PSDC" 8,159 "Feminino" "Não eleito"
"MG" "OMAR RESENDE PERES FILHO" "PDT" 12,874 "Masculino" "Não eleito"
"RJ" "ORNISSON JOSE FERNANDES" "PHS" 7,737 "Masculino" "Não eleito"
"RS" "OSCAR JORGE DE SOUZA" "PCO" 7,695 "Masculino" "Não eleito"
"SC" "OSMAR PICKLER" "PTC" 7,663 "Masculino" "Não eleito"
"RJ" "OSWALDO SOUZA OLIVEIRA" "PRP" 7,867 "Masculino" "Não eleito"
"AL" "OTAVIO GOMES CABRAL FILHO" "PSOL" 9,069 "Masculino" "Não eleito"
"AM" "PAUDERNEY TOMAZ AVELINO" "PFL" 12,575 "Masculino" "Não eleito"
"SP" "PAULO FLAVIO AFFONSO PIASENTI" "PT do B" 10,021 "Masculino" "Não eleito"
"PR" "PAULO SALAMUNI" "PV" 10,593 "Masculino" "Não eleito"
"PE" "PEDRO CORREA GONDIM" "PRONA" 8,546 "Masculino" "Não eleito"
"SC" "PEDRO FLORI RAMOS" "PDT" 10,844 "Masculino" "Não eleito"
"RS" "PEDRO JORGE SIMON" "PMDB" 14,437 "Masculino" "Eleito"
"CE" "RAIMUNDO PEREIRA DE CASTRO" "PSTU" 9,828 "Masculino" "Não eleito"
"MA" "RAMON SILVA GOMES" "PSTU" 8,464 "Masculino" "Não eleito"
"RJ" "RAYMUNDO THEODORO CARVALHO DE OLIVEIRA" "PCB" 9,74 "Masculino" "Não eleito"
"AP" "RICARDO GONÇALVES SANTOS" "PCB" 5,79 "Masculino" "Não eleito"
"MG" "RICARDO VIEIRA DA CONCEIÇÃO" "PT do B" 10,621 "Masculino" "Não eleito"
"MG" "ROBERTO FRANCISCO PEREIRA" "PCO" 8,949 "Masculino" "Não eleito"
"GO" "ROBSON DE SOUSA MORAES" "PCB" 8,237 "Masculino" "Não eleito"
"SP" "ROBSON MALEK" "PRONA" 10,668 "Masculino" "Não eleito"
"BA" "RODOLPHO TOURINHO NETO" "PFL" 14,482 "Masculino" "Não eleito"
"DF" "RODRIGO DE SOUZA DANTAS MENDONÇA PINTO" "PSOL" 9,303 "Masculino" "Não eleito"
"AL" "RONALDO AUGUSTO LESSA SANTOS" "PDT" 13,125 "Masculino" "Não eleito"
"RJ" "RONALDO CEZAR COELHO" "PSDB" 12,821 "Masculino" "Não eleito"
"PB" "RONALDO NOBREGA MEDEIROS" "PSL" 8,895 "Masculino" "Não eleito"
"MG" "RONALDO VASCONCELLOS NOVAIS" "PV" 12,367 "Masculino" "Não eleito"
"RN" "ROSALBA CIARLINI ROSADO" "PFL" 13,378 "Feminino" "Eleito"
"RJ" "ROSANGELA DE SOUZA GOMES" "PRB" 12,484 "Feminino" "Não eleito"
"PR" "SANDRA BORGES" "PSL" 9,026 "Feminino" "Não eleito"
"AC" "SEBASTIÃO AFONSO VIANA MACEDO NEVES" "PT" 12,141 "Masculino" "Eleito"
"PE" "SEVERINO JOSE BELARMINO DA SILVA" "PT do B" 8,774 "Masculino" "Não eleito"
"MG" "SÍLVIO PEDRO RODRIGUES" "PCB" 9,168 "Masculino" "Não eleito"
"MS" "SUEL FERRANTI DA SILVA" "PSTU" 7,835 "Masculino" "Não eleito"
"CE" "TARCÍSIO LEITÃO DE CARVALHO" "PCB" 8,713 "Masculino" "Não eleito"
"MG" "TIBELINDO SOARES RESENDE" "PRP" 8,706 "Masculino" "Não eleito"
"MA" "UBIRAJARA DO PINDARE ALMEIDA SOUSA" "PT" 13,23 "Masculino" "Não eleito"
"RS" "VALMIR MARTINS BATISTA" "PDT" 12,228 "Masculino" "Não eleito"
"RS" "VERA JUSTINA GUASSO" "PSTU" 10,787 "Feminino" "Não eleito"
"RN" "VERONICA SIMONE DUTRA VERAS" "PSTU" 8,701 "Feminino" "Não eleito"
"PB" "VITAL FARIAS" "PSOL" 11,513 "Masculino" "Não eleito"
"PB" "WALTER AMORIM DE ARAÚJO" "PRTB" 9,513 "Masculino" "Não eleito"
"TO" "WEDER MARCIO DA SILVA SANTOS" "PSDC" 6,353 "Masculino" "Não eleito"
"PI" "ZILTON VICENTE DUARTE JUNIOR" "PSOL" 7,81 "Masculino" "Não eleito"
